row_id,energy
94993,1939.4306640625
94994,1827.69482421875
94995,1759.4405517578125
94996,1665.783447265625
94997,1612.9627685546875
94998,1615.8492431640625
94999,1728.1241455078125
95000,1833.024169921875
95001,1898.6846923828125
95002,1987.0579833984375
95003,2046.38330078125
95004,2146.11181640625
95005,2254.51123046875
95006,2368.77978515625
95007,2418.3212890625
95008,2425.977783203125
95009,2423.9208984375
95010,2424.332275390625
95011,2433.79296875
95012,2404.30322265625
95013,2400.973876953125
95014,2363.128173828125
95015,2310.32080078125
95016,2119.03271484375
95017,1920.666015625
95018,1871.936767578125
95019,1823.064453125
95020,1735.3880615234375
95021,1697.990966796875
95022,1697.635498046875
95023,1802.2557373046875
95024,1864.2044677734375
95025,1902.03125
95026,1971.3804931640625
95027,2053.1767578125
95028,2169.64306640625
95029,2322.62060546875
95030,2473.09912109375
95031,2491.870849609375
95032,2472.789794921875
95033,2472.789794921875
95034,2472.789794921875
95035,2473.671875
95036,2472.74365234375
95037,2427.3203125
95038,2376.48583984375
95039,2305.8388671875
95040,2114.49560546875
95041,1919.376220703125
95042,1796.5438232421875
95043,1796.047607421875
95044,1722.4307861328125
95045,1695.4742431640625
95046,1699.9134521484375
95047,1783.9105224609375
95048,1875.2220458984375
95049,1885.4752197265625
95050,1933.3984375
95051,2016.7198486328125
95052,2153.974365234375
95053,2303.441650390625
95054,2452.633544921875
95055,2444.633056640625
95056,2461.19677734375
95057,2473.61962890625
95058,2510.400146484375
95059,2502.044921875
95060,2502.044921875
95061,2479.86279296875
95062,2421.351318359375
95063,2363.73486328125
95064,2204.275146484375
95065,1960.5426025390625
95066,1863.946533203125
95067,1831.9891357421875
95068,1742.900146484375
95069,1712.7186279296875
95070,1719.2818603515625
95071,1809.290771484375
95072,1900.41748046875
95073,1946.3731689453125
95074,2017.5408935546875
95075,2091.40380859375
95076,2221.96044921875
95077,2362.049560546875
95078,2412.136962890625
95079,2545.257080078125
95080,2563.160400390625
95081,2580.214599609375
95082,2580.214599609375
95083,2580.888916015625
95084,2557.163818359375
95085,2473.029296875
95086,2426.6220703125
95087,2356.603271484375
95088,2215.440185546875
95089,2034.061767578125
95090,1952.025146484375
95091,1865.468017578125
95092,1794.0064697265625
95093,1757.8697509765625
95094,1765.1490478515625
95095,1837.8680419921875
95096,1933.9454345703125
95097,1993.3583984375
95098,2020.083251953125
95099,2095.746826171875
95100,2181.939208984375
95101,2266.736328125
95102,2356.45947265625
95103,2443.021484375
95104,2478.50830078125
95105,2493.8017578125
95106,2570.26171875
95107,2570.26171875
95108,2544.50732421875
95109,2456.255859375
95110,2374.32080078125
95111,2330.709228515625
95112,2197.68994140625
95113,1981.4208984375
95114,1894.7852783203125
95115,1801.39404296875
95116,1719.3671875
95117,1674.846435546875
95118,1638.5504150390625
95119,1674.3621826171875
95120,1764.0162353515625
95121,1820.8687744140625
95122,1881.32958984375
95123,1915.4600830078125
95124,2081.7587890625
95125,2180.529296875
95126,2275.49072265625
95127,2319.176025390625
95128,2308.181396484375
95129,2328.068115234375
95130,2324.45556640625
95131,2324.45556640625
95132,2275.62109375
95133,2206.8955078125
95134,2199.314208984375
95135,2162.495361328125
95136,1944.593505859375
95137,1828.79833984375
95138,1736.3909912109375
95139,1611.6072998046875
95140,1545.537841796875
95141,1539.5714111328125
95142,1520.3800048828125
95143,1540.34130859375
95144,1635.169921875
95145,1675.7862548828125
95146,1766.2486572265625
95147,1883.29833984375
95148,1982.03759765625
95149,2031.07080078125
95150,2132.049072265625
95151,2180.749755859375
95152,2244.112548828125
95153,2253.79541015625
95154,2267.780517578125
95155,2277.984130859375
95156,2238.102294921875
95157,2204.95703125
95158,2159.66357421875
95159,2120.18359375
95160,2012.2855224609375
95161,1934.2281494140625
95162,1847.6124267578125
95163,1748.9085693359375
95164,1676.919677734375
95165,1655.3890380859375
95166,1643.6385498046875
95167,1729.989013671875
95168,1845.73974609375
95169,1908.585693359375
95170,1999.954833984375
95171,2070.93310546875
95172,2182.179443359375
95173,2259.27734375
95174,2374.95556640625
95175,2430.36328125
95176,2469.2783203125
95177,2469.2783203125
95178,2469.2783203125
95179,2478.739013671875
95180,2453.813720703125
95181,2403.50634765625
95182,2360.86181640625
95183,2313.494384765625
95184,2129.382568359375
95185,1942.1046142578125
95186,1890.8553466796875
95187,1813.34521484375
95188,1761.5875244140625
95189,1727.81982421875
95190,1735.3326416015625
95191,1810.1102294921875
95192,1891.998046875
95193,1898.7430419921875
95194,1966.0272216796875
95195,2065.50244140625
95196,2152.023681640625
95197,2286.4619140625
95198,2394.9375
95199,2442.63037109375
95200,2471.15576171875
95201,2495.108642578125
95202,2503.682373046875
95203,2504.564453125
95204,2504.564453125
95205,2430.208740234375
95206,2395.55712890625
95207,2351.859130859375
95208,2149.485107421875
95209,1940.2109375
95210,1897.9150390625
95211,1818.150146484375
95212,1737.777099609375
95213,1735.2354736328125
95214,1743.6043701171875
95215,1808.544677734375
95216,1876.3963623046875
95217,1926.7281494140625
95218,1935.8328857421875
95219,2034.533447265625
95220,2126.84814453125
95221,2228.396728515625
95222,2380.834228515625
95223,2450.328857421875
95224,2503.765380859375
95225,2504.693603515625
95226,2503.765380859375
95227,2510.331298828125
95228,2451.32373046875
95229,2389.650146484375
95230,2367.364501953125
95231,2315.384033203125
95232,2139.70849609375
95233,1933.1451416015625
95234,1866.11572265625
95235,1809.3184814453125
95236,1739.7720947265625
95237,1707.4222412109375
95238,1714.683837890625
95239,1802.201904296875
95240,1927.83447265625
95241,1984.62939453125
95242,2038.2049560546875
95243,2096.7607421875
95244,2173.14013671875
95245,2286.7646484375
